Category	Contracts in Effect	Date
Political Ad	169	2014-11-05
Political Ad	162	2014-11-06
Political Ad	161	2014-11-07
Political Ad	147	2014-11-08
Political Ad	144	2014-11-09
Political Ad	44	2014-11-10
Political Ad	34	2014-11-11
Political Ad	34	2014-11-12
Political Ad	36	2014-11-13
Political Ad	35	2014-11-14
Political Ad	33	2014-11-15
Political Ad	33	2014-11-16
Political Ad	38	2014-11-17
Political Ad	39	2014-11-18
Political Ad	50	2014-11-19
Political Ad	52	2014-11-20
Political Ad	52	2014-11-21
Political Ad	51	2014-11-22
Political Ad	51	2014-11-23
Political Ad	50	2014-11-24
Political Ad	51	2014-11-25
Political Ad	49	2014-11-26
Political Ad	48	2014-11-27
Political Ad	47	2014-11-28
Political Ad	48	2014-11-29
Political Ad	48	2014-11-30
Political Ad	35	2014-12-01
